Date,Exports,Imports,Balance
01-01-2015,"1,543.60","3,653.90","-2,110.30"
01-02-2015,"1,616.20","3,316.40","-1,700.20"
01-03-2015,"1,816.50","4,116.30","-2,299.80"
01-04-2015,"1,945.60","4,120.30","-2,174.70"
01-05-2015,"1,788.30","4,042.00","-2,253.70"
01-06-2015,"2,315.10","3,786.00","-1,470.90"
01-07-2015,"1,872.20","4,102.40","-2,230.30"
01-08-2015,"1,875.10","3,805.60","-1,930.50"
01-09-2015,"1,725.70","3,672.80","-1,947.20"
01-10-2015,"1,829.50","3,878.90","-2,049.40"
01-11-2015,"1,580.20","3,273.50","-1,693.30"
01-12-2015,"1,544.80","3,014.50","-1,469.70"
01-01-2016,"1,485.60","3,692.60","-2,206.90"
01-02-2016,"1,526.70","3,660.30","-2,133.60"
01-03-2016,"1,834.60","3,996.90","-2,162.30"
01-04-2016,"1,773.00","3,677.30","-1,904.30"
01-05-2016,"1,586.20","4,124.60","-2,538.40"
01-06-2016,"1,740.60","3,535.60","-1,795.00"
01-07-2016,"1,631.60","3,803.80","-2,172.20"
01-08-2016,"1,900.80","3,905.90","-2,005.20"
01-09-2016,"1,888.00","4,103.60","-2,215.60"
01-10-2016,"2,128.40","4,541.20","-2,412.80"
01-11-2016,"2,060.90","3,542.50","-1,481.60"
01-12-2016,"2,090.80","3,439.90","-1,349.10"
01-01-2017,"1,666.20","3,790.30","-2,124.10"
01-02-2017,"1,933.40","3,470.20","-1,536.80"
01-03-2017,"2,110.80","4,142.70","-2,031.90"
01-04-2017,"1,992.40","3,759.20","-1,766.80"
01-05-2017,"2,061.80","4,497.80","-2,436.00"
01-06-2017,"2,338.60","4,016.50","-1,678.00"
01-07-2017,"2,186.10","4,196.20","-2,010.10"
01-08-2017,"2,491.70","4,178.90","-1,687.20"
01-09-2017,"2,254.00","4,344.50","-2,090.50"
01-10-2017,"2,224.80","4,553.90","-2,329.10"
01-11-2017,"2,022.80","4,004.00","-1,981.10"
01-12-2017,"2,365.20","3,595.40","-1,230.20"
01-01-2018,"2,200.40","4,417.90","-2,217.40"
01-02-2018,"2,305.60","3,880.60","-1,575.00"
01-03-2018,"3,010.20","4,423.40","-1,413.30"
01-04-2018,"2,441.70","4,775.50","-2,333.80"
01-05-2018,"2,621.80","5,111.80","-2,489.90"
01-06-2018,"3,268.50","4,160.30",-891.8
01-07-2018,"2,537.70","4,597.20","-2,059.50"
01-08-2018,"3,131.60","5,063.90","-1,932.30"
01-09-2018,"2,939.00","4,495.40","-1,556.40"
01-10-2018,"2,810.30","5,295.70","-2,485.40"
01-11-2018,"2,654.20","4,081.90","-1,427.70"
01-12-2018,"3,255.50","3,945.90",-690.5
01-01-2019,"2,670.30","4,908.60","-2,238.40"
01-02-2019,"2,673.40","4,591.20","-1,917.90"
01-03-2019,"3,350.60","5,173.50","-1,822.90"
01-04-2019,"3,185.80","5,019.40","-1,833.60"
01-05-2019,"3,117.40","5,588.60","-2,471.10"
01-06-2019,"3,214.80","4,235.00","-1,020.20"
01-07-2019,"2,490.70","5,008.10","-2,517.40"
01-08-2019,"2,583.80","4,771.60","-2,187.80"
01-09-2019,"2,509.00","4,716.80","-2,207.80"
01-10-2019,"2,666.20","5,038.90","-2,372.80"
01-11-2019,"2,737.30","4,537.60","-1,800.30"
01-12-2019,"3,023.50","4,289.50","-1,266.00"
01-01-2020,"2,779.70","4,978.80","-2,199.00"
01-02-2020,"3,146.10","4,540.30","-1,394.20"
01-03-2020,"2,601.20","4,469.90","-1,868.70"
01-04-2020,"1,200.40","3,364.70","-2,164.30"
01-05-2020,"1,366.40","2,120.10",-753.8
01-06-2020,"1,814.30","3,239.50","-1,425.20"
01-07-2020,"1,834.50","4,091.70","-2,257.20"
01-08-2020,"2,142.90","4,294.30","-2,151.40"
01-09-2020,"2,253.80","4,965.50","-2,711.70"
01-10-2020,"2,504.20","5,367.80","-2,863.60"
01-11-2020,"2,657.50","4,920.40","-2,262.90"
01-12-2020,"2,780.50","4,901.70","-2,121.10"
01-01-2021,"2,746.40","5,236.60","-2,490.20"
01-02-2021,"2,860.00","4,507.60","-1,647.50"
01-03-2021,"3,451.10","5,935.70","-2,484.60"
01-04-2021,"3,024.60","5,984.70","-2,960.20"
01-05-2021,"3,187.50","6,060.30","-2,872.80"
01-06-2021,"3,392.20","5,869.00","-2,476.80"
01-07-2021,"3,266.70","6,153.80","-2,887.10"
01-08-2021,"3,449.10","6,539.20","-3,090.00"
01-09-2021,"3,212.90","6,290.50","-3,077.70"
01-10-2021,"3,820.90","7,097.90","-3,277.00"
01-11-2021,"3,483.50","6,573.30","-3,089.80"
01-12-2021,"3,922.60","7,059.70","-3,137.00"
01-01-2022,"3,892.10","6,675.00","-2,782.90"
01-02-2022,"3,905.60","5,934.70","-2,029.20"
01-03-2022,"3,858.30","7,230.00","-3,371.80"
01-04-2022,"3,781.80","7,624.20","-3,842.40"
01-05-2022,"4,075.80","8,474.30","-4,398.50"
01-06-2022,"3,961.60","8,092.80","-4,131.20"
01-07-2022,"3,809.10","7,543.60","-3,734.50"
01-08-2022,"3,663.20","7,054.70","-3,391.60"
01-09-2022,"4,346.20","7,238.40","-2,892.20"
01-10-2022,"4,159.50","7,493.10","-3,333.60"
01-11-2022,"3,963.10","6,207.60","-2,244.50"
01-12-2022,"3,532.00","5,956.50","-2,424.60"
01-01-2023,"2,987.80","7,930.70","-4,942.80"
01-02-2023,"3,008.50","6,268.80","-3,260.40"
01-03-2023,"3,977.40","7,276.80","-3,299.50"
01-04-2023,"3,255.00","6,716.00","-3,461.10"
01-05-2023,"3,426.10","7,352.10","-3,926.00"
01-06-2023,"3,332.70","6,831.90","-3,499.20"
01-07-2023,"3,246.60","6,410.80","-3,164.20"
01-08-2023,"3,813.10","6,763.50","-2,950.40"
01-09-2023,"3,569.10","7,361.70","-3,792.60"
01-10-2023,"3,465.80","7,596.30","-4,130.60"
01-11-2023,"3,087.80","6,672.20","-3,584.40"
01-12-2023,"3,205.10","6,505.20","-3,300.10"
01-01-2024,"2,852.80","6,914.60","-4,061.90"
01-02-2024,"3,033.80","6,807.70","-3,773.90"
01-03-2024,"3,961.40","7,575.80","-3,614.40"
01-04-2024,"3,412.70","7,952.40","-4,539.70"
01-05-2024,"3,667.60","8,345.50","-4,677.90"
01-06-2024,"4,080.20","7,119.90","-3,039.70"
01-07-2024,"3,314.60","6,998.80","-3,684.30"
01-08-2024,"4,115.00","6,392.10","-2,277.10"
01-09-2024,"3,343.80","7,009.60","-3,665.80"
01-10-2024,"3,100.70","8,120.40","-5,019.70"
01-11-2024,"3,763.50","6,890.10","-3,126.60"
01-12-2024,"3,106.70","7,289.70","-4,183.00"
01-01-2025,"3,204.40","8,150.70","-4,946.30"
