Date,Dollar_Index
01-01-2015,103.7607
01-02-2015,105.1685
01-03-2015,107.3647
01-04-2015,106.3523
01-05-2015,105.4065
01-06-2015,106.179
01-07-2015,108.1236
01-08-2015,109.9768
01-09-2015,110.8513
01-10-2015,109.9036
01-11-2015,111.6916
01-12-2015,112.7857
01-01-2016,115.2344
01-02-2016,114.2817
01-03-2016,111.8934
01-04-2016,110.0171
01-05-2016,111.1405
01-06-2016,111.5596
01-07-2016,112.4773
01-08-2016,111.4384
01-09-2016,112.3169
01-10-2016,113.4747
01-11-2016,116.1075
01-12-2016,117.9048
01-01-2017,117.7858
01-02-2017,116.1204
01-03-2017,115.6558
01-04-2017,114.7698
01-05-2017,114.2591
01-06-2017,112.7603
01-07-2017,111.0606
01-08-2017,109.9059
01-09-2017,108.8542
01-10-2017,110.8892
01-11-2017,111.1635
01-12-2017,110.8758
01-01-2018,108.3567
01-02-2018,107.65
01-03-2018,107.9473
01-04-2018,107.9428
01-05-2018,111.046
01-06-2018,112.8435
01-07-2018,113.0594
01-08-2018,113.8309
01-09-2018,114.0783
01-10-2018,114.8301
01-11-2018,116.1678
01-12-2018,116.2111
01-01-2019,114.4403
01-02-2019,114.4106
01-03-2019,114.7823
01-04-2019,114.9024
01-05-2019,115.957
01-06-2019,115.4279
01-07-2019,115.0785
01-08-2019,117.102
01-09-2019,117.3256
01-10-2019,116.7479
01-11-2019,116.5605
01-12-2019,115.9107
01-01-2020,115.2786
01-02-2020,116.7095
01-03-2020,121.0285
01-04-2020,123.2894
01-05-2020,122.6238
01-06-2020,119.6845
01-07-2020,118.7004
01-08-2020,116.9576
01-09-2020,116.3534
01-10-2020,115.7882
01-11-2020,114.1033
01-12-2020,111.9051
01-01-2021,111.4953
01-02-2021,112.0275
01-03-2021,113.3497
01-04-2021,112.6426
01-05-2021,111.2252
01-06-2021,111.5888
01-07-2021,113.0721
01-08-2021,113.4124
01-09-2021,113.4532
01-10-2021,114.0758
01-11-2021,115.0036
01-12-2021,115.8172
01-01-2022,115.0507
01-02-2022,115.0057
01-03-2022,116.2984
01-04-2022,117.1702
01-05-2022,119.6926
01-06-2022,120.0269
01-07-2022,122.7609
01-08-2022,122.3262
01-09-2022,125.5999
01-10-2022,127.4828
01-11-2022,124.8627
01-12-2022,122.2476
01-01-2023,119.8133
01-02-2023,120.3366
01-03-2023,120.8071
01-04-2023,119.3744
01-05-2023,119.7956
01-06-2023,119.5789
01-07-2023,118.4119
01-08-2023,120.2177
01-09-2023,121.9827
01-10-2023,123.7914
01-11-2023,121.5369
01-12-2023,120.1585
01-01-2024,120.5769
01-02-2024,121.4155
01-03-2024,121.0413
01-04-2024,122.5142
01-05-2024,122.2444
01-06-2024,124.0309
01-07-2024,123.7208
01-08-2024,122.8802
01-09-2024,122.1296
01-10-2024,123.831
01-11-2024,126.5329
01-12-2024,127.814
01-01-2025,129.0413
01-02-2025,128.0665
